event_time,open,close,high,low,volume
1562363640000,0.0037058,0.0037058,0.0037058,0.0037058,107624
1562363700000,0.0037068,0.0037146,0.0037146,0.0037068,187242
1562363760000,0.0037223,0.0037033,0.0037223,0.0037033,1320905
1562363820000,0.0037117,0.0037101,0.003712,0.0037,1494418
1562363880000,0.0037085,0.0037101,0.0037101,0.0037085,460638
1562363940000,0.0037101,0.0037101,0.0037101,0.0037101,56961
1562364000000,0.0037111,0.0037109,0.0037111,0.0037109,460960
1562364060000,0.0037183,0.0036968,0.0037183,0.0036968,1717045
1562364120000,0.0037,0.0037021,0.0037021,0.00369,782323
1562364180000,0.0037055,0.0037112,0.003718,0.0037055,586143
1562364240000,0.0037102,0.0037196,0.0037201,0.0037097,1054835
1562364300000,0.0037178,0.00372,0.00372,0.0037178,320523
1562364360000,0.00372,0.00372,0.00372,0.00372,239044
1562364420000,0.00372,0.00372,0.00372,0.00372,35161
1562364480000,0.00372,0.00372,0.00372,0.00372,0
1562364540000,0.0037242,0.0037189,0.0037246,0.0037189,741900
1562364600000,0.0037242,0.0037177,0.0037242,0.0037177,20888
1562364660000,0.0037253,0.0037278,0.0037339,0.0037249,774474
1562364720000,0.0037205,0.00371,0.0037279,0.0037053,4795219
1562364780000,0.00371,0.003726,0.003726,0.00371,4129790
1562364840000,0.003726,0.003726,0.003726,0.003726,0
1562364900000,0.0037258,0.0037184,0.003726,0.0037184,977716
1562364960000,0.0037184,0.0037178,0.0037202,0.0037147,962943
1562365020000,0.0037183,0.0037235,0.0037235,0.003718,512945
1562365080000,0.003724,0.0037243,0.0037301,0.003724,1146724
1562365140000,0.0037291,0.0037169,0.0037291,0.0037121,574994
1562365200000,0.0037238,0.0037291,0.0037291,0.0037238,1043460
1562365260000,0.003729,0.0037291,0.0037291,0.003729,638909
1562365320000,0.0037251,0.0037289,0.0037291,0.0037169,819443
1562365380000,0.0037289,0.0037379,0.0037407,0.003719,902545
1562365440000,0.0037304,0.0037373,0.0037379,0.0037304,229218
1562365500000,0.0037378,0.0037378,0.0037378,0.0037378,10000
1562365560000,0.0037378,0.0037378,0.0037378,0.0037378,0
1562365620000,0.0037378,0.0037378,0.0037378,0.0037378,4900
1562365680000,0.0037379,0.003775,0.003775,0.0037379,8089365
1562365740000,0.0037788,0.0037527,0.0037788,0.0037527,883441
1562365800000,0.0037612,0.0037535,0.0037612,0.0037535,189604
1562365860000,0.0037535,0.0037535,0.0037535,0.0037535,0
1562365920000,0.0037533,0.0037535,0.0037535,0.0037416,917794
1562365980000,0.0037551,0.0037499,0.0037551,0.0037303,628821
1562366040000,0.0037432,0.0037401,0.0037432,0.0037401,100476
1562366100000,0.0037399,0.00374,0.00374,0.0037399,20879
1562366160000,0.0037401,0.00374,0.0037499,0.0037399,1248459
1562366220000,0.0037304,0.0037323,0.003733,0.0037302,763253
1562366280000,0.003739,0.0037169,0.003743,0.0037169,7080202
1562366340000,0.0037169,0.0037298,0.0037298,0.0037169,456566
1562366400000,0.0037298,0.0037298,0.0037298,0.0037298,20878
1562366460000,0.0037298,0.0037102,0.0037309,0.0037102,70867
1562366520000,0.0037241,0.0037101,0.0037294,0.0037101,377517
1562366580000,0.0037274,0.0037277,0.0037277,0.0037274,137967
1562366640000,0.0037275,0.0037248,0.0037275,0.0037102,192525
1562366700000,0.0037248,0.0037248,0.0037248,0.0037248,0
1562366760000,0.0037246,0.0037216,0.0037248,0.0037216,209206
1562366820000,0.0037243,0.0037398,0.0037398,0.0037109,989533
1562366880000,0.0037323,0.0037367,0.0037388,0.0037117,1066049
1562366940000,0.0037367,0.0037253,0.0037367,0.0037253,32105
1562367000000,0.0037364,0.0037323,0.0037366,0.0037323,345378
1562367060000,0.0037367,0.0037373,0.0037373,0.0037214,247878
1562367120000,0.0037362,0.0037387,0.0037388,0.0037362,172480
1562367180000,0.0037385,0.0037308,0.00374,0.0037308,475228
1562367240000,0.0037308,0.0037307,0.0037308,0.0037307,14790
1562367300000,0.0037307,0.0037307,0.0037307,0.0037307,0
1562367360000,0.0037307,0.0037307,0.0037307,0.0037307,0
1562367420000,0.0037307,0.0037307,0.0037307,0.0037307,0
1562367480000,0.0037455,0.0037431,0.0037457,0.0037431,345757
1562367540000,0.0037431,0.0037431,0.0037431,0.0037431,33357
1562367600000,0.0037431,0.0037431,0.0037431,0.0037431,5050
1562367660000,0.0037431,0.0037289,0.0037431,0.0037289,1529381
1562367720000,0.0037289,0.0037289,0.0037289,0.0037289,7291
1562367780000,0.0037289,0.0037289,0.0037289,0.0037289,0
1562367840000,0.0037428,0.0037428,0.0037428,0.0037428,75952
1562367900000,0.0037308,0.0037309,0.0037309,0.0037308,117745
1562367960000,0.003722,0.003722,0.003722,0.003722,257354
1562368020000,0.003717,0.0037177,0.0037192,0.0037133,518691
1562368080000,0.0037217,0.0037281,0.0037281,0.0037168,659645
1562368140000,0.003728,0.0037316,0.0037316,0.003728,122893
1562368200000,0.0037247,0.0037206,0.0037247,0.0037206,475816
1562368260000,0.0037368,0.0037368,0.0037368,0.0037368,2687
1562368320000,0.0037232,0.0037352,0.0037352,0.0037232,77728
1562368380000,0.0037326,0.003739,0.003739,0.0037325,155317
1562368440000,0.003739,0.0037352,0.0037431,0.0037312,1210140
1562368500000,0.0037237,0.0037382,0.0037382,0.0037237,399489
1562368560000,0.0037382,0.0037382,0.0037382,0.0037382,0
1562368620000,0.0037304,0.0037282,0.003739,0.0037282,154142
1562368680000,0.0037327,0.0037327,0.0037327,0.0037327,17146
1562368740000,0.003743,0.0037455,0.0037455,0.0037418,190998
1562368800000,0.0037477,0.0037329,0.0037477,0.0037329,188959
1562368860000,0.0037474,0.0037456,0.0037545,0.0037456,117001
1562368920000,0.003732,0.0037351,0.0037356,0.0037289,3042512
1562368980000,0.0037351,0.0037351,0.0037351,0.0037351,71735
1562369040000,0.0037351,0.0037351,0.0037351,0.0037263,1213247
1562369100000,0.0037334,0.0037432,0.0037432,0.0037234,1327414
1562369160000,0.0037355,0.0037419,0.003742,0.0037353,227040
1562369220000,0.0037439,0.003744,0.003744,0.003742,3484600
1562369280000,0.003744,0.0037614,0.0037631,0.0037421,1149403
1562369340000,0.003759,0.0037631,0.0037631,0.003759,1179344
1562369400000,0.0037665,0.0037861,0.0037861,0.0037665,2126012
1562369460000,0.0037861,0.0037824,0.0037999,0.0037802,1119078
1562369520000,0.0037825,0.0037962,0.0037967,0.0037825,873749
1562369580000,0.0037839,0.0037927,0.0037979,0.0037812,945405
1562369640000,0.0037928,0.0037913,0.0037928,0.0037817,943291
1562369700000,0.0037855,0.003785,0.0037855,0.003782,2705194
1562369760000,0.0037849,0.003783,0.0037849,0.0037601,642816
1562369820000,0.0037829,0.0037956,0.0037972,0.0037829,445285
1562369880000,0.0037854,0.0037854,0.0037854,0.0037854,2846
1562369940000,0.0037973,0.0037706,0.0037973,0.0037706,32290
1562370000000,0.0037971,0.0037971,0.0037971,0.0037971,161408
1562370060000,0.0037788,0.0037999,0.0037999,0.0037788,1120997
1562370120000,0.0037999,0.0037999,0.0037999,0.0037999,286516
1562370180000,0.0037998,0.0038011,0.0038119,0.0037998,1852591
1562370240000,0.003802,0.0037928,0.0038084,0.0037928,1121253
1562370300000,0.0037929,0.0037933,0.003808,0.0037929,58364
1562370360000,0.0037934,0.0037911,0.0038011,0.0037865,1871401
1562370420000,0.0037911,0.0038024,0.0038026,0.0037911,487523
1562370480000,0.0038024,0.0038235,0.0038237,0.003801,5598354
1562370540000,0.0038235,0.0038183,0.0038235,0.0038176,692179
1562370600000,0.0038208,0.0038197,0.0038209,0.0038182,2461260
1562370660000,0.0038197,0.0038182,0.0038223,0.0038182,2528760
1562370720000,0.0038182,0.0038176,0.0038182,0.0038176,3994245
1562370780000,0.00382,0.0038205,0.0038237,0.0038176,647413
1562370840000,0.0038177,0.0038176,0.0038237,0.0038176,3483837
1562370900000,0.003823,0.0038333,0.0038333,0.003819,1657958
1562370960000,0.0038328,0.0038325,0.0038382,0.0038288,7201842
1562371020000,0.0038324,0.0038364,0.0038364,0.0038176,6460617
1562371080000,0.00384,0.00385,0.003858,0.00384,2845023
1562371140000,0.0038542,0.0038701,0.0038736,0.0038503,3854187
1562371200000,0.0038741,0.00389,0.00389,0.0038714,6886814
1562371260000,0.00389,0.00388,0.00389,0.0038776,3102681
1562371320000,0.00388,0.00388,0.00388,0.0038722,4380532
1562371380000,0.00388,0.003914,0.003914,0.00388,6631500
1562371440000,0.003902,0.0039177,0.0039272,0.003902,2747571
1562371500000,0.0039337,0.0039371,0.0039426,0.0039182,5871717
1562371560000,0.0039301,0.0039285,0.0039305,0.0039022,4189607
1562371620000,0.0039268,0.003919,0.0039269,0.003912,2451855
1562371680000,0.0039179,0.003884,0.003925,0.003857,4160753
1562371740000,0.003884,0.0038988,0.00392,0.003884,3623181
1562371800000,0.0038934,0.0039018,0.0039206,0.0038934,1719761
1562371860000,0.0039021,0.0039109,0.0039179,0.0039,895247
1562371920000,0.0039109,0.0039233,0.003925,0.0039109,1686427
1562371980000,0.0039128,0.0039169,0.0039178,0.003901,1619907
1562372040000,0.0039001,0.0038829,0.0039001,0.0038674,4533423
1562372100000,0.0038907,0.0038838,0.0038907,0.0038828,3878856
1562372160000,0.0038907,0.0038622,0.0038907,0.0038622,3053470
1562372220000,0.003865,0.003865,0.003865,0.003865,73252
1562372280000,0.003873,0.0038785,0.0038788,0.0038474,3569432
1562372340000,0.0038716,0.00387,0.0038731,0.0038699,1742327
1562372400000,0.0038599,0.0038586,0.0038602,0.0038563,921000
1562372460000,0.0038596,0.0038602,0.0038602,0.0038596,228860
1562372520000,0.0038715,0.0038571,0.0038747,0.0038571,2101046
1562372580000,0.0038478,0.0038819,0.003882,0.0038473,1557348
1562372640000,0.003858,0.0038569,0.003878,0.0038509,1274930
1562372700000,0.0038718,0.00386,0.0038719,0.003858,1617743
1562372760000,0.0038655,0.00386,0.0038655,0.00386,122260
1562372820000,0.00386,0.0038517,0.00386,0.0038507,1717657
1562372880000,0.0038517,0.0038678,0.00387,0.0038517,1222561
1562372940000,0.0038708,0.0038618,0.0038709,0.0038618,305288
1562373000000,0.0038596,0.0038612,0.0038612,0.0038594,246087
1562373060000,0.0038616,0.0038609,0.0038681,0.0038577,1313754
1562373120000,0.0038652,0.0038513,0.0038652,0.0038513,446606
1562373180000,0.0038579,0.003855,0.0038604,0.0038428,3018564
1562373240000,0.0038565,0.0038617,0.0038643,0.0038508,2536161
1562373300000,0.003856,0.0038612,0.0038649,0.0038455,3099609
1562373360000,0.0038612,0.00385,0.0038629,0.00385,1079422
1562373420000,0.00385,0.0038545,0.0038545,0.0038394,2840850
1562373480000,0.0038486,0.0038483,0.0038486,0.0038483,376038
1562373540000,0.0038454,0.0038301,0.003863,0.0038301,1226572
1562373600000,0.0038309,0.0038353,0.003842,0.00383,1279666
1562373660000,0.0038353,0.0038342,0.0038353,0.0038236,2095875
1562373720000,0.0038297,0.00384,0.00384,0.0038297,407365
1562373780000,0.0038394,0.0038338,0.0038394,0.0038337,795914
1562373840000,0.0038333,0.0038367,0.0038367,0.0038331,338832
1562373900000,0.0038246,0.0038348,0.0038348,0.0038244,712827
1562373960000,0.0038348,0.0038371,0.0038371,0.0038348,6677
1562374020000,0.0038371,0.0038239,0.0038371,0.0038239,530495
1562374080000,0.0038321,0.003843,0.003843,0.0038289,929779
1562374140000,0.0038422,0.0038243,0.003845,0.0038243,3027249
1562374200000,0.0038339,0.0038372,0.0038562,0.0038269,3526368
1562374260000,0.0038381,0.0038407,0.0038407,0.003835,984482
1562374320000,0.0038408,0.003835,0.003841,0.003835,2649643
1562374380000,0.0038269,0.0038248,0.0038269,0.0038181,1980888
1562374440000,0.0038162,0.0038105,0.0038187,0.0037945,1321218
1562374500000,0.0038058,0.0037945,0.003811,0.0037945,3453356
1562374560000,0.0037945,0.0037882,0.0038079,0.003775,3096867
1562374620000,0.0037881,0.0037638,0.0037881,0.0037638,1666684
1562374680000,0.0037637,0.0038036,0.0038044,0.0037637,5336415
1562374740000,0.0038132,0.0038186,0.0038345,0.0038132,1942796
1562374800000,0.0038187,0.0038166,0.0038427,0.0038149,1375852
1562374860000,0.0038126,0.003789,0.0038196,0.003789,750575
1562374920000,0.0038101,0.0038329,0.00384,0.0038098,1266167
1562374980000,0.0038375,0.0038202,0.0038375,0.003801,3526582
1562375040000,0.0038223,0.0038233,0.00383,0.0038119,1278539
1562375100000,0.0038148,0.0038096,0.0038148,0.0037952,1864428
1562375160000,0.0038067,0.0038006,0.0038112,0.0038006,607153
